date,total_return_index,price,total_assets,market_cap,folder,country_code,country,ticker,monthly_return,monthly_log_return
2024-06-28,486.68359,264.32424,4021.5537,1919.4436,SW_MOBN,SW,Switzerland,MOBN,0.007733116438056076,0.007703369154183766
2024-07-31,508.80406,276.33817,4021.5537,2006.6851,SW_MOBN,SW,Switzerland,MOBN,0.04545144002081525,0.044448792151549774
2024-08-30,527.81133,286.66126,4021.5537,2081.6484,SW_MOBN,SW,Switzerland,MOBN,0.037356757727129875,0.036675898749568156
2024-09-30,532.94156,289.44756,4021.5537,2101.8816,SW_MOBN,SW,Switzerland,MOBN,0.009719817875072811,0.009672884323956667
2024-10-31,524.03101,284.60812,4021.5537,2066.7391,SW_MOBN,SW,Switzerland,MOBN,-0.016719563023007478,-0.01686091266802479
2024-11-29,566.5214,307.68521,4021.5537,2234.318,SW_MOBN,SW,Switzerland,MOBN,0.08108373204860508,0.07796399361166506
2024-12-30,573.45328,311.45001,4217.1,2261.6568,SW_MOBN,SW,Switzerland,MOBN,0.012235866112030314,0.012161612989510844
2025-01-31,588.68302,319.72148,4217.1,2321.7218,SW_MOBN,SW,Switzerland,MOBN,0.026557943831100106,0.026211403843881032
2025-02-28,604.77522,328.46136,4217.1,2385.1882,SW_MOBN,SW,Switzerland,MOBN,0.027335933691445602,0.02696897939933537
2025-03-31,601.73455,326.80994,4217.1,2373.196,SW_MOBN,SW,Switzerland,MOBN,-0.005027768829549584,-0.005040450584396742
2025-04-30,649.14624,341.07804,4217.1,2476.8068,SW_MOBN,SW,Switzerland,MOBN,0.07879170308568795,0.07584162138038124
2025-05-30,649.5684,341.29985,4217.1,2478.4175,SW_MOBN,SW,Switzerland,MOBN,0.0006503311179926197,0.0006501197443480459
2025-06-30,661.08226,347.34953,4419.1991,2522.3485,SW_MOBN,SW,Switzerland,MOBN,0.01772540043511972,0.017570137571005274
2025-07-31,653.20294,343.20954,4419.1991,2492.285,SW_MOBN,SW,Switzerland,MOBN,-0.011918819300944516,-0.011990417910318716
2025-08-29,642.99258,337.84475,4419.1991,2516.9174,SW_MOBN,SW,Switzerland,MOBN,-0.015631221745572743,-0.015754677491552613
2025-09-30,666.09597,349.98386,4419.1991,2607.3528,SW_MOBN,SW,Switzerland,MOBN,0.035931036715851405,0.03530057474502715
2025-10-31,700.37374,367.99428,4419.1991,2741.529,SW_MOBN,SW,Switzerland,MOBN,0.051460707681507234,0.05018034758938942
2025-11-28,733.23521,385.26054,4419.1991,2870.1614,SW_MOBN,SW,Switzerland,MOBN,0.046919905934794226,0.04585243033261648
2025-12-30,748.90032,393.49139,4773.7493,2931.4805,SW_MOBN,SW,Switzerland,MOBN,0.021364372286486244,0.021139353368377425
2026-01-30,807.89228,424.48727,4773.7493,3162.3975,SW_MOBN,SW,Switzerland,MOBN,0.07877144450946427,0.07582284225333982
2026-02-27,839.01687,440.84093,4773.7493,3284.231,SW_MOBN,SW,Switzerland,MOBN,0.03852566829825377,0.037802080733684365
